date,BRL,CLP,COP,MXN
2013-02-07,-0.8275362561223363,-1.2491194686446165,-1.0128085267317637,-0.853851692493366
2013-02-08,-0.8193481545551456,-1.2573485797865183,-1.0054231926805826,-0.8565892502883276
2013-02-11,-0.8206478532166047,-1.2523612397005173,-1.0139805066945458,-0.852763688754343
2013-02-12,-0.824546949200981,-1.2610890848510194,-1.0249561920602808,-0.866942834256449
2013-02-13,-0.830135653445254,-1.2690688289886216,-1.0277652233996468,-0.8701717485787107
2013-02-14,-0.8405332427369246,-1.2703156640101223,-1.0379595887901942,-0.8665216715187631
2013-02-15,-0.8253267683978566,-1.26283465388112,-1.027783826256199,-0.8692241324189169
2013-02-18,-0.8322151713035881,-1.2590941488166194,-1.023653992101634,-0.8699260703150604
2013-02-19,-0.8439124592567178,-1.2561017447650185,-1.023653992101634,-0.8893697500382455
2013-02-20,-0.8348145686265058,-1.244880229571515,-1.0065021583606037,-0.8563084751298701
2013-02-21,-0.8193481545551456,-1.2411397245070144,-1.012641101022795,-0.8477097359021072
2013-02-22,-0.8196080942874374,-1.2428852935371149,-0.9998423357149544,-0.8623451410367069
2013-02-25,-0.8062211980744115,-1.243633394550015,-0.9952102244334831,-0.8298454164452465
2013-02-26,-0.8068710474051412,-1.2428852935371149,-0.9851460790388007,-0.8144729765196956
2013-02-27,-0.8197380641535833,-1.2523612397005173,-0.9620227283445483,-0.8423750078914138
2013-02-28,-0.8094704447280588,-1.247373899614516,-0.9659665339335919,-0.8371455705651425
2013-03-01,-0.8110300831218092,-1.2324118793565115,-0.9699475452357401,-0.8435683023148588
2013-03-04,-0.8227273710749389,-1.2274245392705103,-0.9658549167942795,-0.848727545851516
2013-03-05,-0.8315653219728588,-1.2428852935371149,-0.9713427594771472,-0.8632576603016937
2013-03-06,-0.822337461476501,-1.2466257986016158,-0.9785606678193592,-0.8360224699313125
2013-03-07,-0.8353344480910893,-1.2573485797865183,-0.9816301391504548,-0.8440596588421596
2013-03-08,-0.8559996568082847,-1.2635827548940202,-0.9897223817506154,-0.8902471724084251
2013-03-11,-0.840143333138487,-1.258595414808019,-0.9956752958472854,-0.9205708895218403
2013-03-12,-0.8307855027759836,-1.2690688289886216,-0.9942800816058784,-0.9537023582198305
2013-03-13,-0.8209077929488964,-1.2623359198725201,-0.9934615559175862,-0.9584755359136082
2013-03-14,-0.8220775217442092,-1.2635827548940202,-0.9991912357356313,-0.9617746440254848
2013-03-15,-0.805831288475974,-1.2573485797865183,-1.0015724013742993,-0.959633733442246
2013-03-18,-0.8071309871374329,-1.2548549097435178,-0.9889596646319798,-0.965284333506204
2013-03-19,-0.8045315898145152,-1.248620734636016,-0.9786908878152242,-0.9562995284355623
2013-03-20,-0.798033096507221,-1.2461270645930156,-0.9782258164014219,-0.9879218306568437
2013-03-21,-0.774898460333254,-1.2503663036661163,-0.9735378965502943,-0.958931795546102
2013-03-22,-0.7756782795301292,-1.2523612397005173,-0.9541351171664606,-0.9867285362333988
2013-03-25,-0.7681400272936677,-1.2461270645930156,-0.9485356573442805,-0.9879218306568437
2013-03-26,-0.7619014737186655,-1.2523612397005173,-0.9485356573442805,-0.9865179548645555
2013-03-27,-0.7713892739473153,-1.256600478773618,-0.9426571546738187,-0.9925195238765859
2013-03-28,-0.7557928900098093,-1.2590941488166194,-0.9366112262943883,-0.9855001449151468
2013-03-29,-0.7552730105452252,-1.2590941488166194,-0.9366112262943883,-0.9976085736236289
2013-04-01,-0.7639809915769998,-1.2503663036661163,-0.9366112262943883,-0.9824818119617283
2013-04-02,-0.7576124681358515,-1.251613138687617,-0.9535026200436896,-1.0137180483401302
2013-04-03,-0.7520237638915782,-1.2523612397005173,-0.9646271282618412,-0.9900978381348896
2013-04-04,-0.7613815942540819,-1.278544775152025,-0.9594369312838071,-1.0030134954239365
2013-04-05,-0.8045315898145152,-1.2922599603885283,-0.9425455375345062,-1.04860436177848
2013-04-08,-0.7981630663733668,-1.3196903308615358,-0.946507945980102,-1.0419008548703061
2013-04-09,-0.8092105049957667,-1.3034814755820316,-0.9636597797211323,-1.0586069767985302
2013-04-10,-0.819088214822854,-1.2922599603885283,-0.9721240794523353,-1.0729967036694794
2013-04-11,-0.8177885161613953,-1.2885194553240271,-0.9570743685016913,-1.0942654219226382
2013-04-12,-0.8237671300041058,-1.283532115238026,-0.9521632143719387,-1.082929124899915
2013-04-15,-0.7837364112311737,-1.2511144046790166,-0.9448150860338617,-1.0117526222309277
